year,agebis,age,late.harem.size,early.harem.size,age.last.repro,density,early.num.points,late.num.points
1,10,10,2.5,-3.263353958,11,134,-0.486489093,4.5
2,11,11,1.333333333,-3.263353958,11,151,-0.486489093,4.5
3,10,10,NA,-0.183665432,9,142,-0.089587072,4
5,10,10,6.782608696,3.725842075,10,152,0.670300894,6
5,10,10,2,-2.607942702,10,152,0.420300894,6.5
6,10,10,NA,-2.433824591,9,161,-1.096145649,3.125
6,10,10,5.166666667,-1.484538877,11,161,-0.846145649,4
6,10,10,1,-1.816703379,10,161,0.511446296,5.5
6,10,10,6.7,-0.134118709,10,161,0.303854351,5
6,10,10,6.235294118,-3.187851918,11,161,1.553854351,6.5
7,11,11,NA,-2.433824591,9,162,-1.096145649,NA
7,11,11,1.833333333,-1.484538877,11,162,-0.846145649,4.125
7,10,10,NA,0.340521814,9,162,-0.263075011,NA
7,11,11,5.210526316,-3.187851918,11,162,1.553854351,6.5
8,10,10,2,-2.318656988,11,165,-0.054741678,5.5
8,11,11,1,NA,11,165,1.216091656,6
8,10,10,2,-2.908100656,10,165,0.361924989,4.625
8,10,10,1.5,NA,13,165,-0.283908344,4.25
8,10,10,NA,0.234202449,5,165,0.132758322,5.5
9,11,11,1,-2.318656988,11,201,-0.054741678,4.75
9,10,10,4.578947368,1.883826924,12,201,0.132758322,4.25
9,10,10,5,0.602179682,13,201,-0.158908344,5
9,10,10,NA,-1.488473714,9,201,-0.325575011,4.5
9,11,11,NA,0.234202449,5,201,0.132758322,5
10,10,10,5.111111111,-1.228824591,12,168,0.049424989,3.5
10,11,11,NA,-2.692428068,8,168,-1.408908344,3.75
10,10,10,7.333333333,-1.342157925,12,168,0.049424989,4.5
10,10,10,5.769230769,0.468059189,12,168,0.736924989,5.5
10,10,10,13.14814815,1.855082923,12,168,-0.700575011,4.25
10,11,11,NA,1.097085315,9,168,0.299424989,4
10,12,12,3,NA,13,168,-0.283908344,4.5
10,11,11,1.5,1.883826924,12,168,0.132758322,3
10,11,11,3.4,0.602179682,13,168,-0.158908344,5
10,12,12,NA,0.234202449,5,168,0.132758322,2.5
10,10,10,NA,-2.545834858,8,168,-0.242241678,3
11,10,10,3.545454545,0.445983101,11,174,-0.638075011,4.625
11,11,11,9.142857143,-1.228824591,12,174,0.049424989,5.25
11,10,10,NA,-1.115797551,5,174,-0.638075011,4.5
11,10,10,3,-0.618105463,11,174,0.320258322,6.625
11,11,11,4,-1.342157925,12,174,0.049424989,4
11,11,11,5.217391304,0.468059189,12,174,0.736924989,6.25
11,11,11,19.27777778,1.855082923,12,174,-0.700575011,4.5
11,12,12,NA,1.097085315,9,174,0.299424989,4.5
11,13,13,1,NA,13,174,-0.283908344,5.75
11,12,12,1,1.883826924,12,174,0.132758322,3.75
11,12,12,3.866666667,0.602179682,13,174,-0.158908344,5
11,10,10,8.846153846,1.152730031,11,174,-0.283908344,4.5
12,11,11,8.470588235,0.445983101,11,199,-0.638075011,5
12,12,12,8.275862069,-1.228824591,12,199,0.049424989,5.25
12,11,11,NA,-1.115797551,5,199,-0.638075011,5
12,11,11,4,-0.618105463,11,199,0.320258322,7.75
12,12,12,5.411764706,-1.342157925,12,199,0.049424989,4
12,12,12,5.2,0.468059189,12,199,0.736924989,7
12,12,12,16.65,1.855082923,12,199,-0.700575011,4.75
12,10,10,4.333333333,-0.747757342,11,199,-0.242241678,4.25
12,13,13,6,0.602179682,13,199,-0.158908344,4.5
