"","height","week","conc.AL"
"1",60,1,0
"2",41,1,0
"3",85,1,0
"4",88,1,0
"5",66,1,0
"6",106,1,0
"7",61,1,0
"8",52,1,0
"9",194,1,0
"10",86,1,0
"11",140,1,0
"12",41,1,0
"13",99,1,0
"14",144,1,0
"15",117,1,0
"16",102,1,0
"17",70,1,100
"18",167,1,100
"19",116,1,100
"20",85,1,100
"21",90,1,100
"22",44,1,100
"23",71,1,100
"24",40,1,100
"25",29,1,100
"26",49,1,100
"27",116,1,100
"28",135,1,100
"29",73,1,100
"30",39,1,100
"31",21,1,100
"32",69,1,100
"33",84,1,100
"34",67,1,300
"35",119,1,300
"36",72,1,300
"37",81,1,300
"38",31,1,300
"39",50,1,300
"40",62,1,300
"41",50,1,300
"42",111,1,300
"43",68,1,300
"44",80,1,300
"45",72,1,300
"46",45,1,300
"47",67,1,300
"48",105,1,300
"49",50,1,300
"50",74,1,300
"51",76,1,600
"52",111,1,600
"53",190,1,600
"54",110,1,600
"55",105,1,600
"56",67,1,600
"57",51,1,600
"58",64,1,600
"59",43,1,600
"60",34,1,600
"61",68,1,600
"62",55,1,600
"63",42,1,600
"64",126,1,600
"65",72,1,600
"66",175,1,600
"67",52,1,600
"68",62,2,0
"69",50,2,0
"70",97,2,0
"71",87,2,0
"72",65,2,0
"73",100,2,0
"74",65,2,0
"75",62,2,0
"76",210,2,0
"77",90,2,0
"78",183,2,0
"79",45,2,0
"80",190,2,0
"81",208,2,0
"82",155,2,0
"83",100,2,0
"84",86,2,100
"85",190,2,100
"86",120,2,100
"87",100,2,100
"88",85,2,100
"89",45,2,100
"90",68,2,100
"91",35,2,100
"92",30,2,100
"93",50,2,100
"94",125,2,100
"95",195,2,100
"96",80,2,100
"97",40,2,100
"98",25,2,100
"99",80,2,100
"100",90,2,100
"101",65,2,300
"102",145,2,300
"103",70,2,300
"104",80,2,300
"105",35,2,300
"106",48,2,300
"107",75,2,300
"108",47,2,300
"109",120,2,300
"110",68,2,300
"111",78,2,300
"112",90,2,300
"113",40,2,300
"114",80,2,300
"115",105,2,300
"116",65,2,300
"117",70,2,300
"118",95,2,600
"119",115,2,600
"120",200,2,600
"121",135,2,600
"122",135,2,600
"123",60,2,600
"124",45,2,600
"125",53,2,600
"126",43,2,600
"127",65,2,600
"128",95,2,600
"129",60,2,600
"130",38,2,600
"131",130,2,600
"132",68,2,600
"133",175,2,600
"134",52,2,600
"135",78,3,0
"136",60,3,0
"137",115,3,0
"138",90,3,0
"139",80,3,0
"140",133,3,0
"141",65,3,0
"142",65,3,0
"143",250,3,0
"144",105,3,0
"145",283,3,0
"146",83,3,0
"147",280,3,0
"148",220,3,0
"149",208,3,0
"150",105,3,0
"151",100,3,100
"152",230,3,100
"153",157,3,100
"154",125,3,100
"155",90,3,100
"156",70,3,100
"157",70,3,100
"158",37,3,100
"159",32,3,100
"160",60,3,100
"161",130,3,100
"162",225,3,100
"163",85,3,100
"164",40,3,100
"165",32,3,100
"166",80,3,100
"167",95,3,100
"168",65,3,300
"169",167,3,300
"170",80,3,300
"171",83,3,300
"172",43,3,300
"173",55,3,300
"174",105,3,300
"175",50,3,300
"176",130,3,300
"177",72,3,300
"178",83,3,300
"179",105,3,300
"180",45,3,300
"181",85,3,300
"182",108,3,300
"183",75,3,300
"184",80,3,300
"185",95,3,600
"186",115,3,600
"187",225,3,600
"188",140,3,600
"189",143,3,600
"190",60,3,600
"191",55,3,600
"192",62,3,600
"193",45,3,600
"194",60,3,600
"195",100,3,600
"196",62,3,600
"197",40,3,600
"198",127,3,600
"199",75,3,600
"200",183,3,600
"201",60,3,600
"202",104,4,0
"203",60,4,0
"204",120,4,0
"205",80,4,0
"206",95,4,0
"207",172,4,0
"208",54,4,0
"209",50,4,0
"210",300,4,0
"211",163,4,0
"212",310,4,0
"213",135,4,0
"214",262,4,0
"215",221,4,0
"216",323,4,0
"217",100,4,0
"218",90,4,100
"219",320,4,100
"220",291,4,100
"221",180,4,100
"222",150,4,100
"223",82,4,100
"224",65,4,100
"225",34,4,100
"226",32,4,100
"227",65,4,100
"228",115,4,100
"229",265,4,100
"230",117,4,100
"231",40,4,100
"232",30,4,100
"233",86,4,100
"234",85,4,100
"235",62,4,300
"236",234,4,300
"237",115,4,300
"238",85,4,300
"239",95,4,300
"240",81,4,300
"241",177,4,300
"242",62,4,300
"243",140,4,300
"244",62,4,300
"245",74,4,300
"246",115,4,300
"247",103,4,300
"248",82,4,300
"249",100,4,300
"250",85,4,300
"251",80,4,300
"252",92,4,600
"253",95,4,600
"254",300,4,600
"255",123,4,600
"256",142,4,600
"257",55,4,600
"258",65,4,600
"259",65,4,600
"260",30,4,600
"261",80,4,600
"262",120,4,600
"263",55,4,600
"264",45,4,600
"265",110,4,600
"266",70,4,600
"267",210,4,600
"268",54,4,600
