"","conc.AL","ht.wk.1","ht.wk.2","ht.wk.3","ht.wk.4"
"1",0,60,62,78,104
"2",0,41,50,60,60
"3",0,85,97,115,120
"4",0,88,87,90,80
"5",0,66,65,80,95
"6",0,106,100,133,172
"7",0,61,65,65,54
"8",0,52,62,65,50
"9",0,194,210,250,300
"10",0,86,90,105,163
"11",0,140,183,283,310
"12",0,41,45,83,135
"13",0,99,190,280,262
"14",0,144,208,220,221
"15",0,117,155,208,323
"16",0,102,100,105,100
"17",100,70,86,100,90
"18",100,167,190,230,320
"19",100,116,120,157,291
"20",100,85,100,125,180
"21",100,90,85,90,150
"22",100,44,45,70,82
"23",100,71,68,70,65
"24",100,40,35,37,34
"25",100,29,30,32,32
"26",100,49,50,60,65
"27",100,116,125,130,115
"28",100,135,195,225,265
"29",100,73,80,85,117
"30",100,39,40,40,40
"31",100,21,25,32,30
"32",100,69,80,80,86
"33",100,84,90,95,85
"34",300,67,65,65,62
"35",300,119,145,167,234
"36",300,72,70,80,115
"37",300,81,80,83,85
"38",300,31,35,43,95
"39",300,50,48,55,81
"40",300,62,75,105,177
"41",300,50,47,50,62
"42",300,111,120,130,140
"43",300,68,68,72,62
"44",300,80,78,83,74
"45",300,72,90,105,115
"46",300,45,40,45,103
"47",300,67,80,85,82
"48",300,105,105,108,100
"49",300,50,65,75,85
"50",300,74,70,80,80
"51",600,76,95,95,92
"52",600,111,115,115,95
"53",600,190,200,225,300
"54",600,110,135,140,123
"55",600,105,135,143,142
"56",600,67,60,60,55
"57",600,51,45,55,65
"58",600,64,53,62,65
"59",600,43,43,45,30
"60",600,34,65,60,80
"61",600,68,95,100,120
"62",600,55,60,62,55
"63",600,42,38,40,45
"64",600,126,130,127,110
"65",600,72,68,75,70
"66",600,175,175,183,210
"67",600,52,52,60,54
