age.class,harem.mean.size
age.10,6.782608696
age.10,4.578947368
age.10,13.14814815
age.10,8.846153846
age.10,12.56666667
age.10,5.133333333
age.10,14.25
age.10,9.9
age.10,6.655172414
age.10,1
age.10,9.384615385
age.10,3.333333333
age.10,4.4
age.10,7.681818182
age.10,4.375
age.10,8.071428571
age.10,8.2
age.10,3.555555556
age.10,8.333333333
age.10,8.0625
age.10,12.03571429
age.10,12.875
age.10,7.95
age.10,9.25
age.10,7.933333333
age.10,14.96296296
age.10,8.666666667
age.13.plus,5
age.13.plus,3
age.13.plus,1
age.13.plus,2.142857143
age.13.plus,3
age.13.plus,2
age.13.plus,6.037037037
age.13.plus,3.428571429
age.13.plus,4
age.13.plus,1.5
age.13.plus,1.777777778
age.13.plus,3.8
age.13.plus,6
